languageType,languageCode,languageName,tipSheetNumber,title
1,al,Albanian/Shqip,14,Këshilla për prindërimin e adoleshentëve
1,al,Albanian/Shqip,15,Prindërimi i një foshnje të re?
2,al,Shqip/Albanian,1,Koha individuale me secilin femije
2,al,Shqip/Albanian,2,Te qenit pozitiv (optimist)
2,al,Shqip/Albanian,3,Organizohuni!
2,al,Shqip/Albanian,4,Sjelljet e keqija
2,al,Shqip/Albanian,5,Ruani qetesine dhe menaxhoni stresin
2,al,Shqip/Albanian,6,Te flasim rreth COVID-19
2,al,Shqip/Albanian,7,Si t’ i mbani fëmijët të sigurt online
2,al,Shqip/Albanian,8,Buxhetimi familijar gjatë periudhës së stresit financiar
2,al,Shqip/Albanian,9,Harmonia familijare në shtëpi
2,al,Shqip/Albanian,10,Të nx ënit përmes lojërave
2,al,Shqip/Albanian,11,Kur ndihemi të inatosur
2,al,Shqip/Albanian,12,Prindërimi në dhe në komunitete me shumë anëtarë
2,al,Shqip/Albanian,13,Këshilla për fëmijët me aftësi të kufizuara Të
2,al,Shqip/Albanian,14,Këshilla për prindërimin e adoleshentëve
2,al,Shqip/Albanian,15,Prindërimi i një foshnje të re?
1,et,Estonian/Eesti,1,Üks ühele aeg
1,et,Estonian/Eesti,2,Hoia tuju üleval
1,et,Estonian/Eesti,3,Loo str3,sn,Isishona/Shonatuur!
1,et,Estonian/Eesti,4,Halb käitumine
1,et,Estonian/Eesti,5,Ole rahulik ja tegele stressi maandamisega
1,et,Estonian/Eesti,6,COVID-19st rääkimine
3,et,Eesti/Estonian,1,Üks ühele aeg
3,et,Eesti/Estonian,2,Hoia tuju üleval
3,et,Eesti/Estonian,3,Loo str3,sn,Isishona/Shonatuur!
3,et,Eesti/Estonian,4,Halb käitumine
3,et,Eesti/Estonian,5,Ole rahulik ja tegele stressi maandamisega
3,et,Eesti/Estonian,6,COVID-19st rääkimine
1,fr,French/Français,1,Du Temps en Tête-à-tête
1,fr,French/Français,2,Restez Positif
1,fr,French/Français,3,Instaurez un Cadre
1,fr,French/Français,4,Les Mauvais Comportements
1,fr,French/Français,5,Gardez le Calme et Gérez le Stress
1,fr,French/Français,6,Parler du COVID-19
1,fr,French/Français,7,Assurer la sécurité des enfants sur le ne
1,fr,French/Français,8,Le budget familial en période de difficulté financière
1,fr,French/Français,9,L'harmonie familiale à la maison
1,fr,French/Français,10,Apprendre en s'amusant
1,fr,French/Français,11,Quand Nous Sommes en Colère
1,fr,French/Français,12,Être parent dans les foyers et les communautés surpeuplées
1,fr,French/Français,13,Conseils pour les enfants en situation de handicap
1,fr,French/Français,14,Conseils pour les parents d'adolescents
1,fr,French/Français,15,Vous êtes parent d'un nouveau-né ?
3,fr,Français/French,1,Du Temps en Tête-à-tête
3,fr,Français/French,2,Restez Positif
3,fr,Français/French,3,Instaurez un Cadre
3,fr,Français/French,4,Les Mauvais Comportements
3,fr,Français/French,5,Gardez le Calme et Gérez le Stress
3,fr,Français/French,6,Parler du COVID-19
3,fr,Français/French,7,Assurer la sécurité des enfants sur le ne
3,fr,Français/French,8,Le budget familial en période de difficulté financière
3,fr,Français/French,9,L'harmonie familiale à la maison
3,fr,Français/French,10,Apprendre en s'amusant
3,fr,Français/French,11,Quand Nous Sommes en Colère
3,fr,Français/French,12,Être parent dans les foyers et les communautés surpeuplées
3,fr,Français/French,13,Conseils pour les enfants en situation de handicap
3,fr,Français/French,14,Conseils pour les parents d'adolescents
3,fr,Français/French,15,Vous êtes parent d'un nouveau-né ?
1,lo,Lao/ພາສາລາວ,1,ເວ ລາ ຢ່ ູ ນ ໍ າກ ັ ນແບບ ຕ ົ ວ ຕ ໍ ່ 1 ຕ ົ ວ
1,lo,Lao/ພາສາລາວ,2,ຄ ິດໃນ ທາງບວກ
1,lo,Lao/ພາສາລາວ,3,ສາງ ໂຄງ ສ ້ າງ ຂ ້ ຶ ້ 3 ນ ມາ
1,lo,Lao/ພາສາລາວ,4,ພ ຶ ດ ຕ ິ ກ ໍ າທ ີ ່ ບ ໍ 4 ່ ດ
1,lo,Lao/ພາສາລາວ,5,ໃຫໃຈເຢ ້ ັ ນໆ ແລະ ຄວາມຄຸມຄວາມຕ ຶ ງຄຽດ
1,lo,Lao/ພາສາລາວ,6,ໂອລ ້ ົ ມ ກ ັ ນກ ່ ຽວ ກ ັບ ໂຄວິ ດ - 19
2,lo,ພາສາລາວ/Lao,1,ເວ ລາ ຢ່ ູ ນ ໍ າກ ັ ນແບບ ຕ ົ ວ ຕ ໍ ່ 1 ຕ ົ ວ
2,lo,ພາສາລາວ/Lao,2,ຄ ິດໃນ ທາງບວກ
2,lo,ພາສາລາວ/Lao,3,ສາງ ໂຄງ ສ ້ າງ ຂ ້ ຶ ້ 3 ນ ມາ
2,lo,ພາສາລາວ/Lao,4,ພ ຶ ດ ຕ ິ ກ ໍ າທ ີ ່ ບ ໍ 4 ່ ດ
2,lo,ພາສາລາວ/Lao,5,ໃຫໃຈເຢ ້ ັ ນໆ ແລະ ຄວາມຄຸມຄວາມຕ ຶ ງຄຽດ
2,lo,ພາສາລາວ/Lao,6,ໂອລ ້ ົ ມ ກ ັ ນກ ່ ຽວ ກ ັບ ໂຄວິ ດ - 19
1,mk,Macedonian/Mакедонски,1,Време поминато еден-на-еден
1,mk,Macedonian/Mакедонски,2,Oстанете позитивни
1,mk,Macedonian/Mакедонски,3,Структурирајте се
1,mk,Macedonian/Mакедонски,4,Лошо однесување
1,mk,Macedonian/Mакедонски,5,Останете смирени и совладајте го стресот
1,mk,Macedonian/Mакедонски,6,Разговор за КОВИД-19
2,mk,Mакедонски/Macedonian,1,Време поминато еден-на-еден
2,mk,Mакедонски/Macedonian,2,Oстанете позитивни
2,mk,Mакедонски/Macedonian,3,Структурирајте се
2,mk,Mакедонски/Macedonian,4,Лошо однесување
2,mk,Mакедонски/Macedonian,5,Останете смирени и совладајте го стресот
2,mk,Mакедонски/Macedonian,6,Разговор за КОВИД-19
1,ml,Malayalam/മലയാളം,1,സമയം ഫലപ്രദമായി വിനിയോഗിക്കുക
1,ml,Malayalam/മലയാളം,2,പോസിറ്റീവായി ഇരിക്കൂ
1,ml,Malayalam/മലയാളം,3,ഒരു ദിനചര്യ രൂപപ്പെടുത്താം!
1,ml,Malayalam/മലയാളം,4,മോശം പെരുമാറ്റം
1,ml,Malayalam/മലയാളം,5,ശാന്തത പാലിക്കൂ  മാനസിക സമ്മർദ്ദം നിയന്ത്രിക്കൂ
1,ml,Malayalam/മലയാളം,6,കോവിഡ്-19 നെ കുറിച്ചുള്ള ആശയവിനിമയം
2,ml,മലയാളം/Malayalam,1,സമയം ഫലപ്രദമായി വിനിയോഗിക്കുക
2,ml,മലയാളം/Malayalam,2,പോസിറ്റീവായി ഇരിക്കൂ
2,ml,മലയാളം/Malayalam,3,ഒരു ദിനചര്യ രൂപപ്പെടുത്താം!
2,ml,മലയാളം/Malayalam,4,മോശം പെരുമാറ്റം
2,ml,മലയാളം/Malayalam,5,ശാന്തത പാലിക്കൂ  മാനസിക സമ്മർദ്ദം നിയന്ത്രിക്കൂ
2,ml,മലയാളം/Malayalam,6,കോവിഡ്-19 നെ കുറിച്ചുള്ള ആശയവിനിമയം
1,nb,Norwegian/Norsk,1,En-til-en tid
1,nb,Norwegian/Norsk,2,Hold en positiv tone 
1,nb,Norwegian/Norsk,3,Lag en str3,sn,Isishona/Shonatur for hverdagen!
1,nb,Norwegian/Norsk,4,Vanskelig oppførsel
1,nb,Norwegian/Norsk,5,Hold deg rolig og takle stress
1,nb,Norwegian/Norsk,6,Snakk om COVID-19
3,nb,Norsk/Norwegian,1,En-til-en tid
3,nb,Norsk/Norwegian,2,Hold en positiv tone 
3,nb,Norsk/Norwegian,3,Lag en str3,sn,Isishona/Shonatur for hverdagen!
3,nb,Norsk/Norwegian,4,Vanskelig oppførsel
3,nb,Norsk/Norwegian,5,Hold deg rolig og takle stress
3,nb,Norsk/Norwegian,6,Snakk om COVID-19
1,sl,Slovenian/Slovenščina,1,Čas “ena na ena”
1,sl,Slovenian/Slovenščina,2,Bodite pozitivni
1,sl,Slovenian/Slovenščina,3,Načrtujte
1,sl,Slovenian/Slovenščina,4,Neprimerno vedenje
1,sl,Slovenian/Slovenščina,5,Ostanite mirni in upravljajte s stresom
1,sl,Slovenian/Slovenščina,6,Pogovor o COVID-19
3,sl,Slovenščina/Slovenian,1,Čas “ena na ena”
3,sl,Slovenščina/Slovenian,2,Bodite pozitivni
3,sl,Slovenščina/Slovenian,3,Načrtujte
3,sl,Slovenščina/Slovenian,4,Neprimerno vedenje
3,sl,Slovenščina/Slovenian,5,Ostanite mirni in upravljajte s stresom
3,sl,Slovenščina/Slovenian,6,Pogovor o COVID-19
1,uk,Ukrainian/українська мова,1,Час один на один
1,uk,Ukrainian/українська мова,2,Тримайтесь позитиву
1,uk,Ukrainian/українська мова,3,Складіть розклад!
1,uk,Ukrainian/українська мова,4,Погана поведінка
1,uk,Ukrainian/українська мова,5,Зберігайте спокій та керуйте стресом
1,uk,Ukrainian/українська мова,6,Як говорити про COVID-19
2,uk,українська мова/Ukrainian,1,Час один на один
2,uk,українська мова/Ukrainian,2,Тримайтесь позитиву
2,uk,українська мова/Ukrainian,3,Складіть розклад!
2,uk,українська мова/Ukrainian,4,Погана поведінка
2,uk,українська мова/Ukrainian,5,Зберігайте спокій та керуйте стресом
2,uk,українська мова/Ukrainian,6,Як говорити про COVID-19
1,uz,Uzbek/Ўзбек,1,Бола билан шахсий вақт ўтказинг
1,uz,Uzbek/Ўзбек,2,Кўтаринки руҳни сақланг
1,uz,Uzbek/Ўзбек,3,Режа қилинг!
1,uz,Uzbek/Ўзбек,4,Ёмон хулқ–атвор
1,uz,Uzbek/Ўзбек,5,Хотиржам бўлинг  стрессга енгилманг
1,uz,Uzbek/Ўзбек,6,COVID-19 ҳақида cyҳБатлap
2,uz,Ўзбек/Uzbek,1,Бола билан шахсий вақт ўтказинг
2,uz,Ўзбек/Uzbek,2,Кўтаринки руҳни сақланг
2,uz,Ўзбек/Uzbek,3,Режа қилинг!
2,uz,Ўзбек/Uzbek,4,Ёмон хулқ–атвор
2,uz,Ўзбек/Uzbek,5,Хотиржам бўлинг  стрессга енгилманг
2,uz,Ўзбек/Uzbek,6,COVID-19 ҳақида cyҳБатлap
1,vi,Vietnamese/Tiếng Việt Nam,1,Dành thời gian với con trẻ
1,vi,Vietnamese/Tiếng Việt Nam,2,Luôn tạo cảm xúc tích cực
1,vi,Vietnamese/Tiếng Việt Nam,3,Lên lịch trình nào!
1,vi,Vietnamese/Tiếng Việt Nam,4,Ứng phó với những hành vi không đúng đắn của trẻ
1,vi,Vietnamese/Tiếng Việt Nam,5,Giữ bình tĩnh và kiểm soát sự căng thẳng
1,vi,Vietnamese/Tiếng Việt Nam,6,Cùng nhau nói chuyện về chủ đề COVID-19
1,vi,Vietnamese/Tiếng Việt Nam,7,Bảo đảm an toàn cho trẻ trên mạng
1,vi,Vietnamese/Tiếng Việt Nam,8,Cân đối ngân sách gia đình trong giai đoạn khó khăn về tài chính
1,vi,Vietnamese/Tiếng Việt Nam,9,Gia đình hòa thuận
1,vi,Vietnamese/Tiếng Việt Nam,10,Học thông qua vui chơi
1,vi,Vietnamese/Tiếng Việt Nam,11,Làm gì khi nóng giận
1,vi,Vietnamese/Tiếng Việt Nam,12,Chăm sóc con trong môi truống nhà ờ và cộng đông đông đúc
3,vi,Tiếng Việt Nam/Vietnamese,1,Dành thời gian với con trẻ
3,vi,Tiếng Việt Nam/Vietnamese,2,Luôn tạo cảm xúc tích cực
3,vi,Tiếng Việt Nam/Vietnamese,3,Lên lịch trình nào!
3,vi,Tiếng Việt Nam/Vietnamese,4,Ứng phó với những hành vi không đúng đắn của trẻ
3,vi,Tiếng Việt Nam/Vietnamese,5,Giữ bình tĩnh và kiểm soát sự căng thẳng
3,vi,Tiếng Việt Nam/Vietnamese,6,Cùng nhau nói chuyện về chủ đề COVID-19
3,vi,Tiếng Việt Nam/Vietnamese,7,Bảo đảm an toàn cho trẻ trên mạng
3,vi,Tiếng Việt Nam/Vietnamese,8,Cân đối ngân sách gia đình trong giai đoạn khó khăn về tài chính
3,vi,Tiếng Việt Nam/Vietnamese,9,Gia đình hòa thuận
3,vi,Tiếng Việt Nam/Vietnamese,10,Học thông qua vui chơi
3,vi,Tiếng Việt Nam/Vietnamese,11,Làm gì khi nóng giận
3,vi,Tiếng Việt Nam/Vietnamese,12,Chăm sóc con trong môi truống nhà ờ và cộng đông đông đúc
1,pt-mz,Portugese Mozambique/Moçambique África Oriental Portuguesa,1,Tempo para pasar juntos com os miudos
1,pt-mz,Portugese Mozambique/Moçambique África Oriental Portuguesa,2,Mantendo-o positivo
1,pt-mz,Portugese Mozambique/Moçambique África Oriental Portuguesa,3,Estructurar
1,pt-mz,Portugese Mozambique/Moçambique África Oriental Portuguesa,4,Mau comportamento
1,pt-mz,Portugese Mozambique/Moçambique África Oriental Portuguesa,5,Fica com calma y gestiona o estress
1,pt-mz,Portugese Mozambique/Moçambique África Oriental Portuguesa,6,Falar sobre COVID-19
3,pt-mz,Moçambique África Oriental Portuguesa/Portugese Mozambique,1,Tempo para pasar juntos com os miudos
3,pt-mz,Moçambique África Oriental Portuguesa/Portugese Mozambique,2,Mantendo-o positivo
3,pt-mz,Moçambique África Oriental Portuguesa/Portugese Mozambique,3,Estructurar
3,pt-mz,Moçambique África Oriental Portuguesa/Portugese Mozambique,4,Mau comportamento
3,pt-mz,Moçambique África Oriental Portuguesa/Portugese Mozambique,5,Fica com calma y gestiona o estress
3,pt-mz,Moçambique África Oriental Portuguesa/Portugese Mozambique,6,Falar sobre COVID-19
1,az,Azeri/Azərbaycan dili,1,Baş-başa qaldığınız vaxtın keçirilməsi
1,az,Azeri/Azərbaycan dili,2,Müsbət əhval-ruhiyyənin saxlanılması
1,az,Azeri/Azərbaycan dili,3,Vaxtın təşkil edilməsi
1,az,Azeri/Azərbaycan dili,4,İntizama əməl edilməsi
1,az,Azeri/Azərbaycan dili,5,Sakitliyin saxlanılması və vaxtın idarə edilməsi
1,az,Azeri/Azərbaycan dili,6,Uşaqlara COVID 19 haqqında danışın
3,az,Azərbaycan dili/Azeri,1,Baş-başa qaldığınız vaxtın keçirilməsi
3,az,Azərbaycan dili/Azeri,2,Müsbət əhval-ruhiyyənin saxlanılması
3,az,Azərbaycan dili/Azeri,3,Vaxtın təşkil edilməsi
3,az,Azərbaycan dili/Azeri,4,İntizama əməl edilməsi
3,az,Azərbaycan dili/Azeri,5,Sakitliyin saxlanılması və vaxtın idarə edilməsi
3,az,Azərbaycan dili/Azeri,6,Uşaqlara COVID 19 haqqında danışın
1,it,Italian/Italiano,1,Tempo Insieme
1,it,Italian/Italiano,2,Restare Positivi
1,it,Italian/Italiano,3,Ci Vuole Organizzazione
1,it,Italian/Italiano,4,Cattivo Comportamento
1,it,Italian/Italiano,5,State Calmi e Controllate lo Stress
1,it,Italian/Italiano,6,Parlare di COVID-19
1,it,Italian/Italiano,7,Tenere i figli al sicuro quando sono online
1,it,Italian/Italiano,8,Pianificare la spesa famigliare in tempi di difficoltà finanziarie
1,it,Italian/Italiano,9,Armonia famigliare nella casa
1,it,Italian/Italiano,10,Imparare attraverso il gioco
1,it,Italian/Italiano,11,Quando ci arrabbiamo
1,it,Italian/Italiano,12,Essere genitori in case e comunità affollate
3,it,Italiano/Italian,1,Tempo Insieme
3,it,Italiano/Italian,2,Restare Positivi
3,it,Italiano/Italian,3,Ci Vuole Organizzazione
3,it,Italiano/Italian,4,Cattivo Comportamento
3,it,Italiano/Italian,5,State Calmi e Controllate lo Stress
3,it,Italiano/Italian,6,Parlare di COVID-19
3,it,Italiano/Italian,7,Tenere i figli al sicuro quando sono online
3,it,Italiano/Italian,8,Pianificare la spesa famigliare in tempi di difficoltà finanziarie
3,it,Italiano/Italian,9,Armonia famigliare nella casa
3,it,Italiano/Italian,10,Imparare attraverso il gioco
3,it,Italiano/Italian,11,Quando ci arrabbiamo
3,it,Italiano/Italian,12,Essere genitori in case e comunità affollate
1,es,Spanish/Español,1,Tiempo Uno-a-Uno
1,es,Spanish/Español,2,Manteniendo un ambiente positivo
1,es,Spanish/Español,3,¡Establece una base segura!
1,es,Spanish/Español,4,Mal Comportamiento
1,es,Spanish/Español,5,Mantén la calma y maneja el estrés
1,es,Spanish/Español,6,Conversando acerca del COVID-19
1,es,Spanish/Español,7,Mantener Seguros a los Niños en Internet
1,es,Spanish/Español,8,Presupuesto Familiar en Tiempos de Estrés Financiero
1,es,Spanish/Español,9,Armonía familiar en el hogar
1,es,Spanish/Español,10,Aprendiendo a través del juego
1,es,Spanish/Español,11,Cuando nos Enojamos
1,es,Spanish/Español,12,Crianza de hijos en viviendas y comunidades sobrepobladas
1,es,Spanish/Español,13,"Consejos para niños, niñas y adolescentes con discapacidad"
1,es,Spanish/Español,14,Consejos para padres de adolescentes
1,es,Spanish/Español,15,¿Eres madre o padre de un nuevo bebé?
1,es,Spanish/Español,16,Educación y aprendizaje a distancia
3,es,Español/Spanish,1,Tiempo Uno-a-Uno
3,es,Español/Spanish,2,Manteniendo un ambiente positivo
3,es,Español/Spanish,3,¡Establece una base segura!
3,es,Español/Spanish,4,Mal Comportamiento
3,es,Español/Spanish,5,Mantén la calma y maneja el estrés
3,es,Español/Spanish,6,Conversando acerca del COVID-19
3,es,Español/Spanish,7,Mantener Seguros a los Niños en Internet
3,es,Español/Spanish,8,Presupuesto Familiar en Tiempos de Estrés Financiero
3,es,Español/Spanish,9,Armonía familiar en el hogar
3,es,Español/Spanish,10,Aprendiendo a través del juego
3,es,Español/Spanish,11,Cuando nos Enojamos
3,es,Español/Spanish,12,Crianza de hijos en viviendas y comunidades sobrepobladas
3,es,Español/Spanish,13,"Consejos para niños, niñas y adolescentes con discapacidad"
3,es,Español/Spanish,14,Consejos para padres de adolescentes
3,es,Español/Spanish,15,¿Eres madre o padre de un nuevo bebé?
3,es,Español/Spanish,16,Educación y aprendizaje a distancia
1,yo,Yoruba/Èdè Yorùbá,1,Ọkan-lori-kan akoko
1,yo,Yoruba/Èdè Yorùbá,2,Mimu Ki o Wa Ni Rere
1,yo,Yoruba/Èdè Yorùbá,3,Igbekalẹ!
1,yo,Yoruba/Èdè Yorùbá,4,Ihuwasi buburu
1,yo,Yoruba/Èdè Yorùbá,5,Jeki tunu wa ko si Ṣakoso wahala
1,yo,Yoruba/Èdè Yorùbá,6,Sisọrọ nipa COVID-19
3,yo,Èdè Yorùbá/Yoruba,1,Ọkan-lori-kan akoko
3,yo,Èdè Yorùbá/Yoruba,2,Mimu Ki o Wa Ni Rere
3,yo,Èdè Yorùbá/Yoruba,3,Igbekalẹ!
3,yo,Èdè Yorùbá/Yoruba,4,Ihuwasi buburu
3,yo,Èdè Yorùbá/Yoruba,5,Jeki tunu wa ko si Ṣakoso wahala
3,yo,Èdè Yorùbá/Yoruba,6,Sisọrọ nipa COVID-19
